sponsorcontactid,tripname,tripdesc
101,Trip 716,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac
116,Trip 717,erat eros viverra eget congue eget semper rutrum
141,Trip 718,vivamus tortor duis mattis egestas metus aenean fermentum donec
41,Trip 719,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt
71,Trip 720,aliquet massa id lobortis convallis tortor risus dapibus augue vel
95,Trip 721,interdum eu tincidunt in leo maecenas pulvinar lobortis
87,Trip 722,sapien dignissim vestibulum vestibulum ante ipsum primis
200,Trip 723,cursus vestibulum proin eu mi nulla ac enim in tempor turpis
169,Trip 724,in faucibus orci luctus et ultrices posuere cubilia curae
173,Trip 725,viverra diam vitae quam suspendisse potenti nullam
1,Trip 726,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non
55,Trip 727,vestibulum ante ipsum primis in faucibus orci luctus et ultrices
49,Trip 728,viverra diam vitae quam suspendisse potenti nullam porttitor
15,Trip 729,id nulla ultrices aliquet maecenas leo odio
151,Trip 730,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse
158,Trip 731,donec dapibus duis at velit eu est congue elementum in hac
159,Trip 732,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci
30,Trip 733,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras
128,Trip 734,eleifend donec ut dolor morbi vel lectus in quam
119,Trip 735,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur
132,Trip 736,sapien a libero nam dui proin leo
121,Trip 737,eu orci mauris lacinia sapien quis libero nullam sit
8,Trip 738,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer
191,Trip 739,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat
137,Trip 740,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam
179,Trip 741,metus vitae ipsum aliquam non mauris morbi non
151,Trip 742,dui maecenas tristique est et tempus semper est quam pharetra magna ac
88,Trip 743,eu interdum eu tincidunt in leo maecenas
120,Trip 744,in tempus sit amet sem fusce consequat nulla
99,Trip 745,sapien sapien non mi integer ac neque
125,Trip 746,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque
169,Trip 747,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est
198,Trip 748,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede
150,Trip 749,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in
117,Trip 750,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum
91,Trip 751,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in
82,Trip 752,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio
130,Trip 753,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie
168,Trip 754,pede morbi porttitor lorem id ligula suspendisse
63,Trip 755,volutpat convallis morbi odio odio elementum eu interdum eu
42,Trip 756,cras non velit nec nisi vulputate nonummy
157,Trip 757,libero convallis eget eleifend luctus ultricies eu nibh quisque id
58,Trip 758,quisque arcu libero rutrum ac lobortis vel dapibus
23,Trip 759,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque
198,Trip 760,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue
104,Trip 761,luctus et ultrices posuere cubilia curae nulla dapibus dolor
93,Trip 762,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin
25,Trip 763,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat
75,Trip 764,pellentesque eget nunc donec quis orci eget orci vehicula
178,Trip 765,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper
134,Trip 766,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero
106,Trip 767,erat vestibulum sed magna at nunc commodo placerat
50,Trip 768,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut
144,Trip 769,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis
17,Trip 770,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum
165,Trip 771,facilisi cras non velit nec nisi vulputate
17,Trip 772,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at
63,Trip 773,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec
84,Trip 774,nisi volutpat eleifend donec ut dolor morbi
194,Trip 775,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus
37,Trip 776,nunc commodo placerat praesent blandit nam nulla
113,Trip 777,in eleifend quam a odio in hac
189,Trip 778,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum
41,Trip 779,lacinia aenean sit amet justo morbi ut odio cras
91,Trip 780,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus
109,Trip 781,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui
6,Trip 782,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec
105,Trip 783,malesuada in imperdiet et commodo vulputate justo in blandit ultrices
187,Trip 784,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo
123,Trip 785,lorem quisque ut erat curabitur gravida nisi
90,Trip 786,eget rutrum at lorem integer tincidunt ante vel
180,Trip 787,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
89,Trip 788,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer
135,Trip 789,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id
46,Trip 790,quam nec dui luctus rutrum nulla tellus in sagittis
48,Trip 791,semper sapien a libero nam dui proin leo odio porttitor id
168,Trip 792,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper
107,Trip 793,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus
180,Trip 794,sed nisl nunc rhoncus dui vel sem sed sagittis
28,Trip 795,sed vel enim sit amet nunc viverra dapibus nulla
129,Trip 796,pellentesque at nulla suspendisse potenti cras in purus eu
153,Trip 797,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra
89,Trip 798,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor
122,Trip 799,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
125,Trip 800,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu
19,Trip 801,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices
7,Trip 802,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan
155,Trip 803,pellentesque quisque porta volutpat erat quisque erat
113,Trip 804,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum
199,Trip 805,dolor vel est donec odio justo sollicitudin ut
173,Trip 806,in eleifend quam a odio in hac habitasse platea dictumst maecenas
190,Trip 807,cras in purus eu magna vulputate luctus cum
180,Trip 808,sed tristique in tempus sit amet sem fusce consequat nulla
35,Trip 809,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris
151,Trip 810,fermentum donec ut mauris eget massa tempor convallis nulla neque libero
6,Trip 811,ipsum primis in faucibus orci luctus et
76,Trip 812,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor
19,Trip 813,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra
187,Trip 814,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum
171,Trip 815,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan
138,Trip 816,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum
68,Trip 817,dui vel sem sed sagittis nam congue
67,Trip 818,luctus et ultrices posuere cubilia curae donec pharetra
48,Trip 819,curae duis faucibus accumsan odio curabitur convallis duis consequat
153,Trip 820,sem sed sagittis nam congue risus semper porta volutpat quam pede
24,Trip 821,primis in faucibus orci luctus et ultrices posuere cubilia curae
88,Trip 822,imperdiet et commodo vulputate justo in blandit ultrices enim lorem
195,Trip 823,nec nisi volutpat eleifend donec ut dolor morbi vel lectus
48,Trip 824,sollicitudin mi sit amet lobortis sapien sapien non mi
12,Trip 825,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan
142,Trip 826,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit
128,Trip 827,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum
62,Trip 828,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis
42,Trip 829,semper est quam pharetra magna ac consequat metus sapien ut
18,Trip 830,sit amet justo morbi ut odio cras mi pede
102,Trip 831,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
179,Trip 832,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
167,Trip 833,congue diam id ornare imperdiet sapien urna pretium nisl ut
59,Trip 834,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem
48,Trip 835,mi nulla ac enim in tempor turpis nec
133,Trip 836,nisl aenean lectus pellentesque eget nunc donec quis orci eget
65,Trip 837,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat
105,Trip 838,in hac habitasse platea dictumst etiam faucibus cursus
155,Trip 839,etiam pretium iaculis justo in hac habitasse platea dictumst
8,Trip 840,in sapien iaculis congue vivamus metus arcu
64,Trip 841,libero quis orci nullam molestie nibh in lectus pellentesque at
19,Trip 842,neque vestibulum eget vulputate ut ultrices vel augue vestibulum
175,Trip 843,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id
59,Trip 844,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim
141,Trip 845,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at
83,Trip 846,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
167,Trip 847,posuere cubilia curae nulla dapibus dolor vel
52,Trip 848,eu orci mauris lacinia sapien quis libero nullam
101,Trip 849,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque
144,Trip 850,duis aliquam convallis nunc proin at turpis a pede posuere
126,Trip 851,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante
196,Trip 852,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque
103,Trip 853,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec
108,Trip 854,ac leo pellentesque ultrices mattis odio donec vitae nisi nam
162,Trip 855,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum
13,Trip 856,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed
176,Trip 857,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt
80,Trip 858,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque
108,Trip 859,purus sit amet nulla quisque arcu libero rutrum
103,Trip 860,cubilia curae duis faucibus accumsan odio curabitur convallis
16,Trip 861,sed justo pellentesque viverra pede ac diam cras pellentesque
99,Trip 862,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit
103,Trip 863,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit
183,Trip 864,at velit eu est congue elementum in hac habitasse platea
55,Trip 865,ultrices aliquet maecenas leo odio condimentum id luctus
124,Trip 866,aliquam non mauris morbi non lectus aliquam sit amet diam
45,Trip 867,curae nulla dapibus dolor vel est donec odio justo sollicitudin
191,Trip 868,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient
107,Trip 869,eget semper rutrum nulla nunc purus phasellus in felis donec
108,Trip 870,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus
9,Trip 871,sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium
93,Trip 872,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
133,Trip 873,cras pellentesque volutpat dui maecenas tristique est
151,Trip 874,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum
43,Trip 875,donec ut dolor morbi vel lectus in quam fringilla
106,Trip 876,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla
192,Trip 877,in felis donec semper sapien a libero nam
24,Trip 878,pede libero quis orci nullam molestie nibh in lectus pellentesque
163,Trip 879,at nulla suspendisse potenti cras in purus eu magna vulputate luctus
154,Trip 880,orci eget orci vehicula condimentum curabitur in libero
168,Trip 881,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci
83,Trip 882,purus sit amet nulla quisque arcu libero rutrum ac
193,Trip 883,integer ac neque duis bibendum morbi non quam nec
26,Trip 884,auctor gravida sem praesent id massa id nisl venenatis
62,Trip 885,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque
50,Trip 886,posuere nonummy integer non velit donec diam neque vestibulum eget
48,Trip 887,porta volutpat erat quisque erat eros viverra
200,Trip 888,et ultrices posuere cubilia curae nulla dapibus dolor vel
121,Trip 889,et magnis dis parturient montes nascetur ridiculus mus
187,Trip 890,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
125,Trip 891,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum
126,Trip 892,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum
3,Trip 893,proin risus praesent lectus vestibulum quam sapien varius ut
182,Trip 894,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia
186,Trip 895,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis
172,Trip 896,nisl nunc nisl duis bibendum felis sed interdum
58,Trip 897,velit donec diam neque vestibulum eget vulputate ut ultrices
14,Trip 898,massa quis augue luctus tincidunt nulla mollis
94,Trip 899,placerat ante nulla justo aliquam quis turpis eget elit sodales
130,Trip 900,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus
26,Trip 901,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse
165,Trip 902,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id
157,Trip 903,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo
123,Trip 904,tristique est et tempus semper est quam pharetra magna
63,Trip 905,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices
117,Trip 906,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices
199,Trip 907,blandit non interdum in ante vestibulum ante
171,Trip 908,eget elit sodales scelerisque mauris sit amet eros
190,Trip 909,nulla nunc purus phasellus in felis donec semper sapien a
125,Trip 910,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante
174,Trip 911,interdum eu tincidunt in leo maecenas pulvinar lobortis
10,Trip 912,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
110,Trip 913,donec semper sapien a libero nam dui proin leo odio porttitor id
52,Trip 914,dictumst morbi vestibulum velit id pretium iaculis diam
31,Trip 915,congue risus semper porta volutpat quam pede
33,Trip 916,non interdum in ante vestibulum ante ipsum
51,Trip 917,nisl duis ac nibh fusce lacus purus aliquet at feugiat
142,Trip 918,rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
176,Trip 919,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
5,Trip 920,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis
71,Trip 921,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue
26,Trip 922,dapibus nulla suscipit ligula in lacus curabitur at ipsum
121,Trip 923,hac habitasse platea dictumst etiam faucibus cursus urna
169,Trip 924,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
158,Trip 925,massa tempor convallis nulla neque libero convallis
123,Trip 926,porta volutpat erat quisque erat eros viverra
23,Trip 927,mauris morbi non lectus aliquam sit amet
3,Trip 928,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare
11,Trip 929,sem duis aliquam convallis nunc proin at turpis a
40,Trip 930,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien
115,Trip 931,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer
124,Trip 932,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam
147,Trip 933,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet
34,Trip 934,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi
116,Trip 935,semper est quam pharetra magna ac consequat metus sapien
19,Trip 936,platea dictumst morbi vestibulum velit id pretium iaculis diam erat
56,Trip 937,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl
33,Trip 938,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem
185,Trip 939,commodo placerat praesent blandit nam nulla integer
34,Trip 940,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis
155,Trip 941,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum
158,Trip 942,at turpis a pede posuere nonummy integer non velit donec diam neque
182,Trip 943,nec nisi volutpat eleifend donec ut dolor morbi
178,Trip 944,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed
194,Trip 945,dui vel sem sed sagittis nam congue risus semper porta
14,Trip 946,vestibulum quam sapien varius ut blandit non interdum in
64,Trip 947,lobortis vel dapibus at diam nam tristique tortor eu pede
158,Trip 948,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue
123,Trip 949,tortor quis turpis sed ante vivamus tortor duis mattis
153,Trip 950,ante vestibulum ante ipsum primis in faucibus
170,Trip 951,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor
25,Trip 952,nam congue risus semper porta volutpat quam pede
140,Trip 953,nisi at nibh in hac habitasse platea dictumst aliquam
40,Trip 954,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui
118,Trip 955,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus
199,Trip 956,ultrices enim lorem ipsum dolor sit amet consectetuer
132,Trip 957,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo
170,Trip 958,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius
127,Trip 959,quisque erat eros viverra eget congue eget semper
5,Trip 960,proin leo odio porttitor id consequat in consequat ut
65,Trip 961,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
86,Trip 962,vitae nisi nam ultrices libero non mattis pulvinar nulla pede
191,Trip 963,nulla suspendisse potenti cras in purus eu
25,Trip 964,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis
165,Trip 965,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id
58,Trip 966,varius integer ac leo pellentesque ultrices mattis
27,Trip 967,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo
130,Trip 968,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan
135,Trip 969,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo
120,Trip 970,volutpat dui maecenas tristique est et tempus semper
46,Trip 971,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac
56,Trip 972,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel
4,Trip 973,turpis integer aliquet massa id lobortis convallis tortor risus
9,Trip 974,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
41,Trip 975,tempus vivamus in felis eu sapien cursus
123,Trip 976,erat nulla tempus vivamus in felis eu sapien cursus vestibulum
94,Trip 977,at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum
113,Trip 978,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam
117,Trip 979,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam
168,Trip 980,vitae nisi nam ultrices libero non mattis pulvinar nulla
127,Trip 981,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla
193,Trip 982,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor
121,Trip 983,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero
157,Trip 984,lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat
169,Trip 985,tempus semper est quam pharetra magna ac consequat
64,Trip 986,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor
45,Trip 987,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices
86,Trip 988,ut massa quis augue luctus tincidunt nulla mollis molestie
162,Trip 989,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque
169,Trip 990,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et
184,Trip 991,cursus urna ut tellus nulla ut erat id mauris vulputate elementum
174,Trip 992,quis tortor id nulla ultrices aliquet maecenas
109,Trip 993,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi
186,Trip 994,sapien a libero nam dui proin leo
127,Trip 995,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus
118,Trip 996,egestas metus aenean fermentum donec ut mauris
104,Trip 997,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse
79,Trip 998,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non
115,Trip 999,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor
172,Trip 1000,eu interdum eu tincidunt in leo maecenas pulvinar lobortis
134,Trip 1001,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec
